customer_id,age_group,city,occupation,gender,marital status,avg_monthly_income,Total_income,Total_Spending,avg_monthly_spending,O_Income_Utiliz,credit_card_monthly_avgspend,Credit_Card_IU%,avg_spending_apparel,avg_spending_bills,avg_spending_electronics,avg_spending_entertainment,avg_spending_food,avg_spending_groceries,avg_spending_health_wellness,avg_spending_others,avg_spending_travel
ATQCUS0020,21-24,Bengaluru,Business Owners,Male,Single,54149,324894,39608,6601.33,0.121910469,2020.815306,0.037319531,41.3,27.6333,80.9333,168.8,77,42.0667,48.4667,15.7333,44.5333
ATQCUS0021,25-34,Hyderabad,Business Owners,Male,Married,68634,411804,39680,6613.33,0.096356471,1637.586476,0.023859697,66.7692,50.2308,47.1538,221.7308,64.2692,40.6154,30.8077,17.9231,38.4231
ATQCUS0022,25-34,Hyderabad,Salaried IT Employees,Female,Married,65608,393648,47802,7967,0.121433362,2124.533333,0.03238223,96.9286,8.9286,91.7143,200.9643,64.1071,39.25,18,17.2857,53.25
ATQCUS0023,35-45,Mumbai,Salaried IT Employees,Male,Married,63264,379584,65859,10976.5,0.173503098,3077.523364,0.048645728,96.2667,25.8667,141.6667,218.7333,130.2,78.1,58.5667,36.1333,49.8667
ATQCUS0024,21-24,Mumbai,Salaried IT Employees,Female,Single,47229,283374,47966,7994.33,0.169267399,2297.221264,0.048640057,46.8,100.76,116.24,258,45.08,35.6,29,27.44,49.44
ATQCUS0025,35-45,Bengaluru,Business Owners,Male,Married,74263,445578,57686,9614.33,0.129463259,2293.326422,0.030881144,150.8077,79.8077,114.6538,78.5385,129.7308,12,26.3077,39.0769,47.6923
ATQCUS0026,21-24,Chennai,Salaried IT Employees,Female,Single,48976,293856,63636,10606,0.216555047,2940.277228,0.060035063,101.6429,44.0357,107.3214,290.9643,70.2143,47.7857,46.5714,7.1786,76.6071
ATQCUS0027,35-45,Chennai,Salaried Other Employees,Male,Married,42419,254514,48031,8005.17,0.188716613,2475.825773,0.058365963,84.9333,27.6667,129,108.4,87.4667,74.6667,39.2667,14.4,46.8667
ATQCUS0028,45+,Mumbai,Government Employees,Female,Married,56316,337896,56291,9381.83,0.16659262,1841.293738,0.032695748,157,57.5238,57.5238,155.7619,66.1905,24.3333,76.619,21.0952,20.8571
ATQCUS0029,21-24,Chennai,Salaried Other Employees,Male,Single,29795,178770,64800,10800,0.362476926,2700,0.090619231,43,43.7667,56.5333,102.8,153.2667,26.4667,70.4333,35.1667,52.9667
ATQCUS0030,25-34,Mumbai,Freelancers,Male,Married,33339,200034,39909,6651.5,0.199511083,1276.550505,0.038290006,123.5789,14.5263,56.1053,0,88.0526,62.6842,15.4737,20.1053,9.3158
ATQCUS0031,35-45,Chennai,Government Employees,Male,Married,56530,339180,34691,5781.83,0.102278967,1428.452118,0.025268921,15.1905,28.1905,77.5714,99.1905,42.2857,38.8095,36.9524,24.8095,25.0476
ATQCUS0032,21-24,Mumbai,Salaried Other Employees,Female,Married,29380,176280,40773,6795.5,0.231296801,1488.538095,0.050665013,48.8261,32.5217,29.913,115.9565,77.3043,33.0435,18.4783,13.4348,15.3043
ATQCUS0033,21-24,Mumbai,Salaried Other Employees,Female,Single,31521,189126,31919,5319.83,0.168770978,1231.960632,0.039083805,38.7273,9.1364,130.9545,142.1818,27.9545,31.6818,0,12.7273,37.6818
ATQCUS0034,35-45,Hyderabad,Freelancers,Male,Married,36551,219306,38954,6492.33,0.177623868,1449.743592,0.039663582,98.087,7.7391,34.8261,47.6522,28.1739,53.913,9.2609,19.8696,36.0435
ATQCUS0035,45+,Hyderabad,Government Employees,Male,Married,58980,353880,50090,8348.33,0.1415451,2003.5992,0.033970824,26.9167,48.9583,83.7083,158.9583,64.7083,39.0833,9.9583,4.125,35.2917
ATQCUS0036,45+,Mumbai,Business Owners,Male,Married,74750,448500,32923,5487.17,0.073406957,1294.725506,0.017320743,18.5714,21.5238,39.1905,159.5238,36.5714,26.3333,42.1429,16.5238,54.6667
ATQCUS0037,21-24,Mumbai,Salaried IT Employees,Male,Married,46732,280392,31734,5289,0.113177266,1181.038835,0.025272593,42.3913,46.2174,112.6087,172.1739,29.6087,10.7826,45.3043,35.9565,33.9565
ATQCUS0038,25-34,Chennai,Salaried IT Employees,Female,Married,65280,391680,38195,6365.83,0.097515778,1573.575955,0.024105024,38.0455,61.9091,176.2727,167.9091,99.8182,19.0909,39,7.5455,21.7273
ATQCUS0039,25-34,Chennai,Salaried Other Employees,Female,Married,39722,238332,36813,6135.5,0.154461004,1394.431818,0.035104774,74.2,36.15,133.6,243.45,0,30.85,42.95,13.35,24.65
ATQCUS0040,45+,Hyderabad,Salaried Other Employees,Male,Married,45293,271758,32861,5476.83,0.12092001,1321.993448,0.029187589,40.381,18.8571,149.5714,170.0476,56.5714,13.6667,33.4286,16.1905,61.9524
ATQCUS0041,25-34,Mumbai,Salaried IT Employees,Male,Married,62524,375144,55556,9259.33,0.148092413,2631.599053,0.042089423,144.2963,23.037,193.8889,180.5926,61.7778,90.9259,106.2963,15.7407,41.3704
ATQCUS0042,21-24,Delhi NCR,Freelancers,Male,Single,25862,155172,91509,15251.5,0.589726239,3713.408696,0.143585519,148.2857,67.6071,205.0357,276.4643,90.6071,33.6429,122.8929,31.3929,64.3929
ATQCUS0043,25-34,Chennai,Salaried Other Employees,Female,Married,38912,233472,79685,13280.83,0.341304225,3320.2075,0.085326056,220.6667,91.375,224.4583,281,27.9167,85.375,17.625,25.8333,48.9583
ATQCUS0044,21-24,Mumbai,Freelancers,Male,Single,28332,169992,65977,10996.17,0.388118382,3963.735698,0.139903138,154.0645,18.6774,132,442.4839,131.5484,34.129,68.3226,34.3226,65.129
ATQCUS0045,35-45,Chennai,Salaried IT Employees,Male,Married,68311,409866,68417,11402.83,0.166925239,2770.781121,0.040561273,142.6538,96.0769,79.1923,252.5385,55.0385,18.8077,97.6538,24.6154,72.6923
ATQCUS0046,25-34,Bengaluru,Salaried Other Employees,Female,Single,39552,237312,68418,11403,0.288304005,3109.909091,0.078628365,176.4815,41.7037,118,293.8148,130.8519,60.5185,51.2222,15.6296,82.0741
ATQCUS0047,35-45,Chennai,Salaried Other Employees,Male,Married,39455,236730,64996,10832.67,0.274557597,2739.295862,0.069428358,81.1364,96.9545,84.4091,371.5909,44,90.8636,32.0909,49.2273,78.9091
ATQCUS0048,25-34,Bengaluru,Government Employees,Male,Married,51963,311778,67752,11292,0.217308469,3079.636364,0.059265946,78.0741,78.0741,199.8519,326.7407,55.4074,78.2963,54.7778,29.7407,28.8889
ATQCUS0049,35-45,Mumbai,Salaried IT Employees,Male,Married,62891,377346,39020,6503.33,0.10340637,1659.012755,0.026379176,96.32,12.08,137.36,254.48,56.04,27.16,8.12,17.08,23.12
ATQCUS0050,35-45,Mumbai,Salaried IT Employees,Male,Married,64672,388032,47128,7854.67,0.121453952,2305.958165,0.035656206,60.5313,55.6875,161.25,143.5313,46.8125,56.9375,43.5313,9.5938,29.875
ATQCUS0051,21-24,Hyderabad,Salaried IT Employees,Female,Married,46827,280962,41251,6875.17,0.146820638,1621.502358,0.034627509,56.56,21.8,40.36,186.56,82,34.44,46.84,18.4,42.84
ATQCUS0052,45+,Mumbai,Salaried IT Employees,Female,Married,75315,451890,48524,8087.33,0.10738007,1908.246404,0.025336871,113.1429,29.5714,127.5714,126.4286,103,39.5238,73.2857,20.9048,20.4762
ATQCUS0053,35-45,Bengaluru,Freelancers,Male,Married,39726,238356,45833,7638.83,0.192287922,1952.145444,0.049140247,132.9565,42.4783,144.5217,277.3913,53.0435,17,53.7391,6.3043,59.913
ATQCUS0054,35-45,Hyderabad,Freelancers,Female,Married,36189,217134,36697,6116.17,0.169006328,1512.601183,0.041797264,97.5217,36.5217,126.7391,58.3478,66.6522,47.1739,28.6087,20.4348,24.9565
ATQCUS0055,25-34,Hyderabad,Business Owners,Male,Married,66800,400800,42384,7064,0.105748503,1802.040816,0.026976659,39.6,26.16,146.16,167.92,52.92,53,18.52,16.72,51.12
ATQCUS0056,25-34,Mumbai,Government Employees,Female,Married,52218,313308,47866,7977.67,0.152776246,2160.618958,0.0413769,25.4231,10.2692,102.8462,191.7308,127.6923,39.0385,49.4615,23.7308,47.8462
ATQCUS0057,25-34,Delhi NCR,Salaried Other Employees,Male,Married,37383,224298,32950,5491.67,0.14690287,1611.685761,0.043112799,14.5185,14.963,26.5556,102.5926,55.8519,23.6667,35.3704,11.3333,40.8519
ATQCUS0058,35-45,Delhi NCR,Salaried IT Employees,Female,Married,62735,376410,35458,5909.67,0.094200526,1345.766436,0.021451605,14,13.2609,150,144.2609,68.0435,0,20.6087,8.6087,29
ATQCUS0059,35-45,Delhi NCR,Salaried IT Employees,Male,Married,62738,376428,36570,6095,0.097150053,1277.047619,0.020355249,19.4091,26.2727,45.4091,213.3182,31.8636,34.7727,19.3636,5.9545,20.7727
ATQCUS0060,21-24,Mumbai,Freelancers,Female,Single,27803,166818,25289,4214.83,0.151596231,812.4973494,0.02922337,0,83.5625,82.75,74.3125,60.25,35.5,31.75,7.6875,11.8125
ATQCUS0061,35-45,Mumbai,Salaried IT Employees,Male,Married,66601,399606,38555,6425.83,0.096482485,1511.96,0.022701761,104.3333,30.75,192.5833,168.5833,33.2917,21.6667,39.75,9.8333,33.125
ATQCUS0062,35-45,Mumbai,Salaried Other Employees,Male,Married,40937,245622,35156,5859.33,0.14313042,1603.024245,0.039158322,29.3448,24.2414,119.8621,111.2069,53.3793,26.6552,43.4138,7.8276,35.4138
ATQCUS0063,21-24,Mumbai,Salaried Other Employees,Male,Single,28747,172482,66178,11029.67,0.383680732,2698.749043,0.093879328,84.8696,79.3913,318.4348,264.7391,107.4783,110.6957,67.7826,7.0435,40.8261
ATQCUS0064,25-34,Mumbai,Salaried IT Employees,Male,Single,62174,373044,70039,11673.17,0.187750024,2739.621531,0.044063781,0,75.0435,102.087,295.9565,121.3913,50.7391,116.7826,37.1739,77.7826
ATQCUS0065,25-34,Chennai,Freelancers,Male,Married,33594,201564,60984,10164,0.302554028,2231.121951,0.066414299,171.5556,94.2778,84.1667,321.8889,145.3889,74.8889,70.5,0,51.2222
ATQCUS0066,21-24,Chennai,Salaried IT Employees,Male,Married,49735,298410,59113,9852.17,0.198093294,2677.220109,0.0538297,135.04,90.8,74.28,78.68,143.28,66.48,59.04,18,56.4
ATQCUS0067,35-45,Bengaluru,Salaried Other Employees,Female,Married,39307,235842,63773,10628.83,0.270405526,2195.084457,0.055844619,85.8421,71.6316,239.3684,286,170.4211,111.6316,110.4211,0,31.7895
ATQCUS0068,45+,Mumbai,Business Owners,Male,Married,81122,486732,67779,11296.5,0.139253224,4000.84375,0.04931885,81.6765,45.4706,187.4706,308.8235,79.1176,117.4412,74.1765,25.5588,91.7353
ATQCUS0069,45+,Chennai,Salaried Other Employees,Female,Married,44719,268314,62315,10385.83,0.232246472,2057.570094,0.046011094,60.6667,88.5714,183.0476,96.3333,158.8571,78.7143,0,25,44.2857
ATQCUS0070,25-34,Chennai,Freelancers,Female,Married,36434,218604,28619,4769.83,0.130917001,998.3365116,0.027401233,66.7778,33.7778,36.1667,50.6667,44.2778,0,65.7778,30.0556,10.0556
ATQCUS0071,35-45,Mumbai,Freelancers,Male,Married,36321,217926,31073,5178.83,0.142585006,1046.228283,0.028805052,91.9,50.7,151,0,70.85,30.85,44.5,18.75,8.9
ATQCUS0072,25-34,Chennai,Freelancers,Female,Married,35389,212334,33767,5627.83,0.159027664,1420.106636,0.040128476,44.3704,25.5926,18.8889,213.8889,69.8889,47.1852,22.6667,8.6296,28.8519
ATQCUS0073,45+,Chennai,Salaried Other Employees,Male,Married,41532,249192,29098,4849.67,0.116769479,1715.127195,0.041296523,53.3793,35.6552,81.8621,229.931,46.6897,7.6552,26.7586,10.1034,30.1034
ATQCUS0074,21-24,Bengaluru,Freelancers,Male,Single,24888,149328,50763,8460.5,0.339942944,1692.1,0.067988589,70.4706,33.1765,168.1765,463,0,119.5882,46.4118,0,74.7647
ATQCUS0075,35-45,Mumbai,Salaried IT Employees,Male,Married,69738,418428,49223,8203.83,0.117637873,2321.838679,0.033293738,55.5667,53.9333,213.4,123.5,99.7667,33.1333,26.2,8.3333,44.1
ATQCUS0076,25-34,Bengaluru,Freelancers,Female,Married,36307,217842,51766,8627.67,0.237631035,1977.174375,0.054457112,0,86.5455,174.5,415.2273,24.4545,0,30.0909,9.2273,73.2727
ATQCUS0077,25-34,Bengaluru,Salaried Other Employees,Male,Married,40683,244098,47898,7983,0.196224467,1908.978261,0.046923242,38.1818,50.0909,220.9091,349.9091,47.2273,23.6364,14.7727,23.0909,9.2273
ATQCUS0078,25-34,Chennai,Business Owners,Female,Married,73119,438714,36297,6049.5,0.082734994,1423.411765,0.019467057,42.2917,18.375,46.125,129.375,43.0417,19.625,31.4583,3.25,32.6667
ATQCUS0079,21-24,Delhi NCR,Salaried IT Employees,Female,Single,47151,282906,40010,6668.33,0.141424996,1742.176306,0.036948873,46.3448,9.3448,115.7931,88.7586,66.4483,7.8621,39.4828,7.8276,38.7241
ATQCUS0080,25-34,Hyderabad,Salaried IT Employees,Male,Married,59666,357996,30311,5051.83,0.084668488,1300.471089,0.021795848,58.7692,43.6538,42.2692,93.6923,39.2692,24.6154,34.8846,8.0769,8.1154
ATQCUS0081,25-34,Mumbai,Salaried IT Employees,Female,Single,60324,361944,29873,4978.83,0.082534812,1028.23663,0.017045233,59.3158,20.5789,70.8947,86.4737,17.2632,11.5263,31.2632,10.4737,31.5263
ATQCUS0082,25-34,Bengaluru,Salaried IT Employees,Male,Single,63024,378144,30337,5056.17,0.080226104,1044.209022,0.016568435,52.6316,14,0,37.4737,16.0526,23.7895,33.4211,24,34.8947
ATQCUS0083,35-45,Delhi NCR,Freelancers,Male,Married,36294,217764,33758,5626.33,0.15502094,1747.986019,0.048161845,46.5938,13.875,77.6875,71.3438,36.0938,20.0938,33.4375,16.7188,19.4063
ATQCUS0084,25-34,Delhi NCR,Salaried IT Employees,Female,Married,65784,394704,29760,4960,0.075398273,1212.444444,0.018430689,36.5455,27.5455,97,59.7273,16.4091,32.9545,34.3636,11.0455,8.6818
ATQCUS0085,35-45,Chennai,Business Owners,Male,Married,74451,446706,32050,5341.67,0.071747458,1348.382718,0.018111009,12.2692,22.2308,70.5385,148.7692,56.2692,31.3462,22,18.0769,39.7308
ATQCUS0086,35-45,Hyderabad,Salaried IT Employees,Male,Married,64930,389580,33072,5512,0.084891422,1190.090909,0.01832883,59.7895,37.2632,178.2632,202.2632,37.4211,35.6316,39.4211,23.4211,16.0526
ATQCUS0087,35-45,Hyderabad,Salaried Other Employees,Female,Married,39913,239478,47947,7991.17,0.200214717,1682.351579,0.042150467,36.6,60.9,63.65,249.35,134.3,23.2,41.2,25.1,63.6
ATQCUS0088,35-45,Chennai,Freelancers,Male,Married,38803,232818,51149,8524.83,0.219695127,1991.78271,0.051330637,79.44,35.8,85.28,153.64,120.92,23.4,15.36,26.2,43.08
ATQCUS0089,21-24,Bengaluru,Business Owners,Male,Single,53441,320646,55044,9174,0.171665949,2208.555556,0.041326988,84.9231,39.7692,131.0769,234.4231,129.7308,48.9615,39.9615,12.6923,9.8846
ATQCUS0090,21-24,Mumbai,Salaried IT Employees,Female,Single,48270,289620,49141,8190.17,0.169674125,2025.525914,0.041962418,67,20.3043,177.7391,272.7391,75.1739,39.4348,71.5217,10.0435,27.0435
ATQCUS0091,35-45,Bengaluru,Salaried IT Employees,Female,Married,60789,364734,48234,8039,0.132244321,2273.656566,0.037402434,48.9643,58.7143,235.5357,120.5714,39.6786,44.8214,67.1071,28.7143,34.3214
ATQCUS0092,21-24,Bengaluru,Salaried IT Employees,Female,Single,50962,305772,47911,7985.17,0.156688709,2348.579412,0.046084914,92.1333,61.4,192.0333,161.3,36.2,21.5667,57.5,16.8333,19.3333
ATQCUS0093,25-34,Delhi NCR,Salaried Other Employees,Male,Married,38958,233748,20928,3488,0.089532317,750.1075269,0.019254262,29.3,21.1,60.8,74.6,21.35,36.95,18.05,8.5,36.65
ATQCUS0094,35-45,Mumbai,Business Owners,Female,Married,72494,434964,19587,3264.5,0.045031313,851.6086957,0.011747299,63.2917,8.2917,45.375,100.5417,25.75,37.1667,29.5,2.75,27.9583
ATQCUS0095,35-45,Delhi NCR,Salaried Other Employees,Female,Married,40111,240666,23833,3972.17,0.099029443,1107.624327,0.027613979,52.8966,6.8621,52.6897,74.6207,51.931,31.6207,26.069,7.5862,19.069
ATQCUS0096,35-45,Mumbai,Business Owners,Male,Single,77916,467496,19421,3236.83,0.041542559,784.6860606,0.010070923,32.125,14.25,23.875,77,20.875,40.2917,27.5,9.25,20.7083
ATQCUS0097,35-45,Hyderabad,Freelancers,Male,Married,37202,223212,19657,3276.17,0.088064351,662.2045745,0.017800241,64.3684,0,0,105.0526,36.7368,17.7368,42.5789,3.7895,30.8947
ATQCUS0098,25-34,Mumbai,Freelancers,Male,Married,34571,207426,17979,2996.5,0.086676694,669.8058824,0.01937479,36.4211,14.3158,46.1053,69.2105,15.5263,0,24.3684,21.8947,24.2105
ATQCUS0099,35-45,Bengaluru,Salaried IT Employees,Male,Married,64773,388638,33321,5553.5,0.085737885,1446.223958,0.022327574,65.44,0,163.52,129.8,14.92,61.48,28.76,11.16,26.12
ATQCUS0100,45+,Mumbai,Business Owners,Female,Married,77714,466284,33307,5551.17,0.071430759,1403.042967,0.018053928,32.913,36.6957,164.1304,0,59.5652,59.1739,20.1739,20.6522,31.6522
ATQCUS0101,25-34,Mumbai,Business Owners,Male,Married,69308,415848,28068,4678,0.067495816,1302.123711,0.018787495,27.6296,15.6296,94.1481,157.3704,53.1111,44.8889,8.0741,17,25.3704
ATQCUS0102,25-34,Mumbai,Salaried IT Employees,Male,Married,60555,363330,25122,4187,0.069143754,1173.925234,0.019386099,55.5333,20.2,62.4,42.4667,14.4667,8.8667,6.2,8.4,18.1333
ATQCUS0103,35-45,Chennai,Salaried IT Employees,Male,Married,68681,412086,21379,3563.17,0.051879996,881.9727723,0.012841583,41.72,11.04,11.32,83.04,10.08,16.64,18.32,8.68,20.28
ATQCUS0104,25-34,Chennai,Salaried IT Employees,Male,Married,59934,359604,19314,3219,0.05370908,779.3368421,0.013003251,17.6087,13.3043,78.3478,54.8696,0,37.3913,15.2174,13.5217,3.4783
ATQCUS0105,25-34,Delhi NCR,Freelancers,Male,Single,36083,216498,23405,3900.83,0.108107142,1012.715481,0.028066277,12.4815,27.1852,67.2963,117.3704,36.1852,14.7407,31.2222,9.7037,15.5185
ATQCUS0106,25-34,Chennai,Salaried IT Employees,Female,Married,61140,366840,21552,3592,0.058750409,741.826087,0.012133237,36.8947,18.1053,0,81.6316,78.5263,7.1053,27.1579,18.8421,9.9474
ATQCUS0107,21-24,Mumbai,Salaried IT Employees,Male,Single,49500,297000,19139,3189.83,0.06444101,815.1787778,0.016468258,58.5217,7.1304,48.5652,98.2609,43.4348,0,30.3478,10.6522,29.3478
ATQCUS0108,25-34,Hyderabad,Salaried IT Employees,Male,Married,63075,378450,50157,8359.5,0.132532699,1572.579208,0.024931894,116.7368,44.1579,120.7895,249.6842,126.8947,34.9474,22.8947,11.6316,24.9474
ATQCUS0109,35-45,Delhi NCR,Salaried Other Employees,Female,Married,38678,232068,51551,8591.83,0.222137391,1963.846857,0.050774261,96.375,32.7917,184,185.4583,69.375,16.3333,74.4167,12,34.6667
ATQCUS0110,35-45,Mumbai,Salaried Other Employees,Male,Married,43849,263094,38566,6427.67,0.146586467,1526.571625,0.034814286,84.8947,55.4737,78.2105,191.3684,81,19.7895,40.8421,27.1579,89.7368
ATQCUS0111,25-34,Bengaluru,Salaried Other Employees,Male,Married,39782,238692,68600,11433.33,0.287399578,2884.083243,0.072497191,118.8929,23.4643,155.9286,291.6786,65.0714,62.1429,84.6786,21.7857,43.75
ATQCUS0112,35-45,Hyderabad,Salaried IT Employees,Female,Married,67054,402324,44711,7451.83,0.111131774,1937.4758,0.028894261,121.0769,45.8077,143.2692,121,41.0385,33.0769,57.6538,4.3462,58.4231
ATQCUS0113,45+,Bengaluru,Salaried Other Employees,Male,Married,43884,263304,25244,4207.33,0.095873895,1262.199,0.028762168,66.7,20.1667,58.9,106.9333,29.2,31.7333,23.2,9.7,11.2667
ATQCUS0114,35-45,Delhi NCR,Business Owners,Male,Married,77512,465072,27163,4527.17,0.058406053,1010.921456,0.013042128,45.6957,37.0435,82.6957,52.7391,32.2174,38.1739,31.8261,0,14
ATQCUS0115,35-45,Chennai,Government Employees,Male,Married,55324,331944,32509,5418.17,0.097935254,1326.898776,0.023984144,19.5,16,127.5,100.4167,79.875,16.625,18.1667,10.2083,29.75
ATQCUS0116,35-45,Hyderabad,Salaried Other Employees,Female,Married,42861,257166,44128,7354.67,0.171593523,1770.568704,0.041309552,38.7308,38.5385,154.6154,202.5769,29.9231,27.4231,34.2692,18.4615,21.6538
ATQCUS0117,35-45,Chennai,Freelancers,Male,Married,37606,225636,42328,7054.67,0.187594267,1912.013364,0.050843306,43.5862,23.2069,130.4483,184.1379,50.5862,9,40.7586,17.3793,53.9655
ATQCUS0118,25-34,Bengaluru,Business Owners,Male,Married,66810,400860,39905,6650.83,0.099548421,1577.000928,0.023604265,70.6087,16.4348,134.1304,59.0435,39.8261,56.2174,51.6522,8.6087,48.8261
ATQCUS0119,21-24,Chennai,Freelancers,Male,Married,26433,158598,25425,4237.5,0.160310975,931.3186813,0.035233181,13.85,19.1,153.2,48.4,43.35,23.7,19.2,3.3,17.05
ATQCUS0120,25-34,Bengaluru,Freelancers,Male,Married,36642,219852,29004,4834,0.131925113,1085.183673,0.029615842,56.7727,10.3636,59.6364,98.3182,19.4091,25.9091,21.2727,10.6818,14.9091
ATQCUS0121,21-24,Chennai,Freelancers,Male,Single,24816,148896,21797,3632.83,0.146390635,866.9253409,0.034934129,39.4286,17.2857,81.2381,112.4286,28.8095,12.9524,7.5238,9.2381,17.8095
ATQCUS0122,25-34,Delhi NCR,Freelancers,Male,Married,35999,215994,25603,4267.17,0.118535793,1055.321613,0.029315304,42.0435,21.7826,86.4348,160.5217,33.3913,24.7826,13.9565,7.087,21.7391
ATQCUS0123,25-34,Bengaluru,Salaried Other Employees,Male,Married,36313,217878,25948,4324.67,0.119094264,873.6707071,0.024059447,64.5,21.7,109.2,104.7,14.15,9.65,28.9,17.9,18.1
ATQCUS0124,35-45,Mumbai,Business Owners,Male,Married,71600,429600,94135,15689.17,0.219122486,3333.948625,0.046563528,37.8235,666.4706,620.5294,185.8824,217,167.0588,46.6471,112.2353,210.1765
ATQCUS0125,25-34,Mumbai,Salaried Other Employees,Female,Single,39973,239838,123629,20604.83,0.515468691,4554.751895,0.113945711,24.5238,774.7619,659.3333,252.619,33.8571,210.0476,156.8095,0,702.619
ATQCUS0126,25-34,Bengaluru,Salaried Other Employees,Male,Married,38241,229446,145626,24271,0.634685285,6900.578431,0.180449738,107.1034,405.8966,446.2759,124.4138,141.1724,751.9655,99.8276,69.3448,233.069
ATQCUS0127,25-34,Bengaluru,Freelancers,Female,Single,34085,204510,96489,16081.5,0.47180578,2558.420455,0.07506001,46.7857,366,457.0714,206.9286,111.2143,176.7143,138.6429,41,840.4286
ATQCUS0128,21-24,Mumbai,Salaried IT Employees,Male,Married,45444,272664,126560,21093.33,0.464160945,4921.777,0.108304221,155.381,719.4286,378.5714,277.2857,125.4762,314.3333,281.8095,52.619,114.3333
